ID,Cultivar Name,Specie Name,Cultivar Chinese Name,Specie Chinese Name,Count
class0000,C. goeringii 'Guan Shen',C. goeringii,冠神春兰,春兰,563
class0001,C. goeringii 'Bao Gong Hun',C. goeringii,包公魂春兰,春兰,686
class0002,C. goeringii 'Da Yuan Bao',C. goeringii,大元宝春兰,春兰,672
class0003,C. goeringii 'Da Fu Gui',C. goeringii,大富贵春兰,春兰,754
class0004,C. goeringii 'Tian Lv',C. goeringii,天绿春兰,春兰,630
class0005,C. goeringii 'Song Mei',C. goeringii,宋梅春兰,春兰,779
class0006,C. goeringii 'Nian Qi Mei',C. goeringii,廿七梅春兰,春兰,685
class0007,C. goeringii 'Zhang He Su',C. goeringii,张荷素春兰,春兰,564
class0008,C. goeringii 'Wang Zi',C. goeringii,汪字春兰,春兰,529
class0009,C. goeringii 'Huan Qiu He Ding',C. goeringii,环球荷鼎春兰,春兰,694
class0010,C. goeringii 'Hong Ta Bao Shi',C. goeringii,红塔宝石春兰,春兰,798
class0011,C. goeringii 'Lv Yun',C. goeringii,绿云春兰,春兰,651
class0012,C. goeringii 'Cui Yi Pin',C. goeringii,翠一品春兰,春兰,642
class0013,C. goeringii 'Yan Zhi Xian Zi',C. goeringii,胭脂仙子春兰,春兰,548
class0014,C. goeringii 'Rui Ding',C. goeringii,蕊鼎春兰,春兰,502
class0015,C. goeringii 'Hu Rui Die',C. goeringii,虎蕊蝶春兰,春兰,561
class0016,C. goeringii 'Xi Shen Mei',C. goeringii,西神梅春兰,春兰,557
class0017,C. goeringii 'Zui Hong Su',C. goeringii,醉红素春兰,春兰,775
class0018,C. goeringii 'Ji Yuan',C. goeringii,集圆春兰,春兰,598
class0019,C. goeringii 'Long Zi',C. goeringii,龙字春兰,春兰,597
class0020,C. faberi 'Cui Mei',C. faberi,崔梅蕙兰,蕙兰,596
class0021,C. faberi 'Lao Duo Yun',C. faberi,老朵云蕙兰,蕙兰,540
class0022,C. faberi 'Jie Pei Mei',C. faberi,解佩梅蕙兰,蕙兰,631
class0023,C. faberi 'Zheng Xiao He',C. faberi,郑孝荷蕙兰,蕙兰,528
class0024,C. faberi 'Jin Ao Su',C. faberi,金岙素蕙兰,蕙兰,617
class0025,C. ensifolium 'Dong Fang Hong He',C. ensifolium,东方红荷建兰,建兰,671
class0026,C. ensifolium 'Tai Bei Xiao Jie',C. ensifolium,台北小姐建兰,建兰,563
class0027,C. ensifolium 'Jun He',C. ensifolium,君荷建兰,建兰,605
class0028,C. ensifolium 'Xia Huang Mei',C. ensifolium,夏皇梅建兰,建兰,514
class0029,C. ensifolium 'Da He Su',C. ensifolium,大荷素建兰,建兰,555
class0030,C. ensifolium 'Yi Bin He',C. ensifolium,宜宾荷建兰,建兰,503
class0031,C. ensifolium 'Fu Shan Qi Die',C. ensifolium,富山奇蝶建兰,建兰,534
class0032,C. ensifolium 'Shi Zhang Hong',C. ensifolium,市长红建兰,建兰,685
class0033,C. ensifolium 'Mu Shan Zi',C. ensifolium,暮山紫建兰,建兰,756
class0034,C. ensifolium 'Zhu De Su',C. ensifolium,朱德素建兰,建兰,511
class0035,C. ensifolium 'Hui Cui Fen He',C. ensifolium,汇翠粉荷建兰,建兰,548
class0036,C. ensifolium 'Man Tang Hong',C. ensifolium,满堂红建兰,建兰,788
class0037,C. ensifolium 'Hong Mao Rui Die',C. ensifolium,红猫蕊蝶建兰,建兰,504
class0038,C. ensifolium 'Lv Guang Deng',C. ensifolium,绿光登建兰,建兰,592
class0039,C. ensifolium 'Yi Hong Shuang Jiao',C. ensifolium,逸红双娇建兰,建兰,690
class0040,C. ensifolium 'Qing Shan Yu Quan',C. ensifolium,青山玉泉建兰,建兰,592
class0041,C. kanran 'Xue Zhong Hong',C. kanran,雪中红寒兰,寒兰,502
class0042,C. var. longibracteatum 'Xin Jin Yan Zhi',C. var. longibracteatum,新津胭脂春剑,春剑,751
class0043,C. var. longibracteatum 'Xi Shu Dao Guang',C. var. longibracteatum,西蜀道光春剑,春剑,588
class0044,C. var. tortisepalum 'Xin Xin Xiang Yin',C. var. tortisepalum,心心相印莲瓣兰,莲瓣兰,552
